UP000006548	3702	27448 (prev:27481, diff:-33, %change:0)	14145 (prev:14144, diff:1, %change:0)	41769 (prev:41824, diff:-55, %change:0)	GCA_000001735.1 (GCA_000001735.1)	ENA/EMBL (ENA/EMBL)	Arabidopsis thaliana (Mouse-ear cress)	Atha
UP000002195	44689	12726 (prev:12726, diff:0, %change:0)	28 (prev:28, diff:0, %change:0)	13108 (prev:13108, diff:0, %change:0)	GCA_000004695.1 (GCA_000004695.1)	ENA/EMBL (ENA/EMBL)	Dictyostelium discoideum (Social amoeba)	Ddis
UP000053201	645134	8940 (prev:8940, diff:0, %change:0)	327 (prev:327, diff:0, %change:0)	9277 (prev:9277, diff:0, %change:0)	GCA_000182565.2 (GCA_000182565.2)	ENA/EMBL (ENA/EMBL)	Spizellomyces punctatus (strain DAOM BR117)	Spun
UP000000561	237631	6788 (prev:6788, diff:0, %change:0)	17 (prev:17, diff:0, %change:0)	6808 (prev:6808, diff:0, %change:0)	GCA_000328475.2 (GCA_000328475.2)	ENA/EMBL (ENA/EMBL)	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)	Umay
UP000001805	367110	9759 (prev:9759, diff:0, %change:0)	507 (prev:507, diff:0, %change:0)	10272 (prev:10272, diff:0, %change:0)	GCA_000182925.2 (GCA_000182925.2)	ENA/EMBL (ENA/EMBL)	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Ncra
UP000054560	667725	18207 (prev:18207, diff:0, %change:0)	442 (prev:442, diff:0, %change:0)	18655 (prev:18655, diff:0, %change:0)	GCA_001186125.1 (GCA_001186125.1)	ENA/EMBL (ENA/EMBL)	Sphaeroforma arctica JP610	Sarc
UP000008743	595528	8738 (prev:8738, diff:0, %change:0)	1056 (prev:1056, diff:0, %change:0)	9814 (prev:9814, diff:0, %change:0)	GCA_000151315.2 (GCA_000151315.2)	ENA/EMBL (ENA/EMBL)	Capsaspora owczarzaki (strain ATCC 30864)	Cowc
UP000001357	81824	9156 (prev:9188, diff:-32, %change:0)	0 (prev:0, diff:0, %change:0)	9172 (prev:9204, diff:-32, %change:0)	GCA_000002865.1 (GCA_000002865.1)	ENA/EMBL (ENA/EMBL)	Monosiga brevicollis (Choanoflagellate)	Mbre
UP000007879	400682	43437 (prev:43437, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	43614 (prev:43614, diff:0, %change:0)	GCA_000090795.1 (GCA_000090795.1)	EnsemblMetazoa (EnsemblMetazoa)	Amphimedon queenslandica (Sponge)	Aque
UP000009022	10228	11518 (prev:11518, diff:0, %change:0)	2 (prev:2, diff:0, %change:0)	11537 (prev:11537, diff:0, %change:0)	GCA_000150275.1 (GCA_000150275.1)	ENA/EMBL (ENA/EMBL)	Trichoplax adhaerens (Trichoplax reptans)	Tadh
UP000001593	45351	24427 (prev:24427, diff:0, %change:0)	18 (prev:18, diff:0, %change:0)	24786 (prev:24786, diff:0, %change:0)	GCA_000209225.1 (GCA_000209225.1)	ENA/EMBL (ENA/EMBL)	Nematostella vectensis (Starlet sea anemone)	Nvec
UP000594262	252671	19013 (prev:19013, diff:0, %change:0)	5544 (prev:5544, diff:0, %change:0)	24687 (prev:24687, diff:0, %change:0)	GCA_902728285.1 (GCA_902728285.1)	EnsemblMetazoa (EnsemblMetazoa)	Clytia hemisphaerica	Chem
UP000000305	6669	30040 (prev:30040, diff:0, %change:0)	97 (prev:97, diff:0, %change:0)	32333 (prev:32333, diff:0, %change:0)	GCA_000187875.1 (GCA_000187875.1)	ENA/EMBL (ENA/EMBL)	Daphnia pulex (Water flea)	Dpul
UP000014760	283909	31857 (prev:31857, diff:0, %change:0)	0 (prev:0, diff:0, %change:0)	32175 (prev:32175, diff:0, %change:0)	GCA_000328365.1 (GCA_000328365.1)	EnsemblMetazoa (EnsemblMetazoa)	Capitella teleta (Polychaete worm)	Ctel
UP000007110	7668	26461 (prev:26461, diff:0, %change:0)	7962 (prev:7962, diff:0, %change:0)	35617 (prev:35617, diff:0, %change:0)	GCA_000002235.4 (GCA_000002235.4)	EnsemblMetazoa (EnsemblMetazoa)	Strongylocentrotus purpuratus (Purple sea urchin)	Spur
UP000515135	7741	23850 (prev:23850, diff:0, %change:0)	7764 (prev:7764, diff:0, %change:0)	31614 (prev:31614, diff:0, %change:0)	GCF_001625305.1 (GCF_001625305.1)	Refseq (Refseq)	Branchiostoma belcheri (Amphioxus)	Bbel
UP000001038	8090	23617 (prev:23617, diff:0, %change:0)	12521 (prev:12521, diff:0, %change:0)	36219 (prev:36219, diff:0, %change:0)	GCA_002234675.1 (GCA_002234675.1)	Ensembl (Ensembl)	Oryzias latipes (Japanese rice fish) (Japanese killifish)	Olat
UP000005640	9606	20594 (prev:20586, diff:8, %change:0)	84110 (prev:83865, diff:245, %change:0)	108290 (prev:108040, diff:250, %change:0)	GCA_000001405.28 (GCA_000001405.28)	Ensembl (Ensembl)	Homo sapiens (Human)	Hsap
